SML,7.99%,0.20%,0.03%,89.79%,(97.86),Compliant
SNAI,12.50%,0.00%,0.12%,52.41%,(63.18),Compliant
SSOM,8.96%,0.00%,0.08%,43.55%,117.93,Non-Compliant
SURC,27.36%,0.54%,0.20%,88.97%,(175.15),Compliant
SUTM,22.36%,1.24%,2.09%,73.10%,(3.15),Compliant
SZTM,19.43%,0.60%,0.12%,83.55%,(75.30),Compliant
TATM,40.19%,3.97%,1.78%,77.88%,(227.38),Non-Compliant
TCORP,15.94%,0.02%,0.02%,91.36%,(80.30),Compliant1
TICL,23.17%,0.76%,0.40%,75.60%,(303.38),Compliant
TRIPF,46.17%,0.00%,0.02%,67.73%,(160.44),Non-Compliant
TRSM,N/A,N/A,N/A,90.86%,(1.25),Compliant
TSML,37.96%,0.00%,0.01%,77.21%,(115.22),Non-Compliant1
UBDL,19.69%,0.00%,0.21%,30.80%,(4.09),Compliant
UDPL,11.77%,0.00%,0.00%,73.48%,(0.52),Compliant
UPFL,3.90%,25.96%,1.93%,19.75%,540.47,Non-Compliant
WAHN,23.52%,0.10%,0.02%,38.50%,51.55,Compliant
ZAHID,26.70%,0.42%,0.00%,69.66%,(16.43),Compliant
ZIL,5.62%,0.00%,0.09%,59.35%,(95.08),Compliant
ZTL,29.84%,0.63%,0.05%,74.19%,(30.16),Compliant
786,N/A,N/A,N/A,N/A,N/A,NC by nature
AKDSL,N/A,N/A,N/A,N/A,N/A,NC by nature
AMBL,N/A,N/A,N/A,N/A,N/A,NC by nature
ARPAK,N/A,N/A,N/A,N/A,N/A,NC by nature
ASLCPS,N/A,N/A,N/A,N/A,N/A,NC by nature
ASLPS,N/A,N/A,N/A,N/A,N/A,NC by nature
CASH,N/A,N/A,N/A,N/A,N/A,NC by nature
EFGH,N/A,N/A,N/A,N/A,N/A,NC by nature
EPCLPS,N/A,N/A,N/A,N/A,N/A,NC by nature
FCIBL,N/A,N/A,N/A,N/A,N/A,NC by nature
GCILB,N/A,N/A,N/A,N/A,N/A,NC by nature
HCL,N/A,N/A,N/A,N/A,N/A,NC by nature
HGFA,N/A,N/A,N/A,N/A,N/A,NC by nature
IML,N/A,N/A,N/A,N/A,N/A,NC by nature
JSGCL,N/A,N/A,N/A,N/A,N/A,NC by nature
JSIL,N/A,N/A,N/A,N/A,N/A,NC by nature
MCBAH,N/A,N/A,N/A,N/A,N/A,NC by nature
PELPS,N/A,N/A,N/A,N/A,N/A,NC by nature
PIAB,N/A,N/A,N/A,N/A,N/A,NC by nature
SIBL,N/A,N/A,N/A,N/A,N/A,NC by nature
TCORPPS,N/A,N/A,N/A,N/A,N/A,NC by nature
TSBL,N/A,N/A,N/A,N/A,N/A,NC by nature
TSMF,N/A,N/A,N/A,N/A,N/A,NC by nature
